,Unnamed: 0,prompt,completion
0,0,,Juanesito al fin que vas a ir con laura??? vas a salir?? después de almuerzo contesta
1,1,,Que???
2,2,,Bkablablabla blablabla blablablabla
3,3,,Juanesito eres muy blabla juanesito por q cogieron una ruta tan larga que pasó?? juan
4,4,,No no lo hizo porque yo me doy cuenta ya está abajo
5,5,,Juanes
6,6,,A santa
7,7,,Estas en un uber pooll de camino a santa en. parte estas?
8,8,,Mm... estas a 12 min
9,9,,Calmte uno comparte viaje con otros pasajeros
10,10,,Y no es uber ángel es uber x jajajajaja
11,11,,De que?? ya están llegando
12,12,,No
13,13,,No se ys miras
14,14,,Voy en alcalá
15,15,,Hijo ve preguntando cuanto vale en efectivo ok
16,16,,No se demora si amor voy en el b16 es rápido ok yo te aviso busca el almacén
17,17,,Ok hijo
18,18,,Si hijo ya lo voy a pedir x favor pendiente de los datos del xaro
19,19,,nan
20,20,,Xq
21,21,,Ok me avisas
22,22,,Ok pendiente
23,23,,Qgd672
24,24,,Ya llegó?
25,25,,Hcn 065 hmk 816 juanesito x favor ve directo al baño a buscar el desodorante
26,26,,Voy para la iglesia y tu
27,27,,Vad a ir a la iglesia o te vienés al apto y aquí te recogemos
28,28,,Más tarde a almorzar
29,29,,Te jodiste y entonces
30,30,,Todavía estás en cafam
31,31,,Y no hay alguien q te saque wnk 044 salgan ya hijo ok nos vemos en la country
32,32,,nan
33,33,,Juanesito q dios te bendiga y que te de largos años de vida y con mucha sabiduría 
34,34,,En la licuadora de deje un jugo de papaya batelo nuevamente y tomalo
35,35,,Que haz desayunado??
36,36,,X dios y te duele ?? juanesito
37,37,,Dime como te sientes
38,38,,Y los medicamentos
39,39,,Por la resequedad por favor toma más jugo no puedes comer nada? vad a perder peso
40,40,,Por favor hidratate bueno cuidate ahora hablamos ok descansa cuando entras a la u??
41,41,,Cuando
42,42,,No vas a poder ir excelente fecha
43,43,,Seguro
44,44,,Que no es el 25 de julio??
45,45,,Ok a cafam no puedes ir el fin. de semana ok
46,46,,Sorry
47,47,,Ek otro si
48,48,,Ni se te ocurra no
49,49,,No
50,50,,No insistas juanes
51,51,,Que no estás con antibióticos
52,52,,No puedes tomar ni cerveza
53,53,,Hablamos ok
54,54,,Chao
55,55,,nan
56,56,,Juanes q belleza divina y hay mas juanes hijo
57,57,,X favor dime s david q es tarde que es mejor q aleja se vaya ya ok
58,58,,Y tú a dormir vad a ir a la iglesia no me contesta xfa
59,59,,Vas a ir a la iglesia ?
60,60,,Hijo para la consulta con el doctor dime como amaneciste voy a pedirte la cita
61,61,,Juanesito q necesitas finalmente vad a salir?? pero te advierto q el otro viernes no
62,62,,Hijo estoy en reunión ahorita oigo el audio juanesito fue blanca a trabajar?? juanesito cuenta
63,63,,Me avisas xfa si llega que haces??
64,64,,Comete una manzana
65,65,,Te sube defensas lavaba bien
66,66,,Me cuentas si llega ok
67,67,,nan
68,68,,Juanesito este ya no es espera es otro ya te lo envío
69,69,,No importa hijo este carro llega o sino como sales de allá no está tan lejos
70,70,,Eso hubiera sido antes hijo ya no me lo cobran
71,71,,nan
72,72,,Exagerado ok me cuentas
73,73,,Ok
74,74,,Juanesito ya estaa 3 minutos
75,75,,Viene muy cerca x la autopista
76,76,,Espera miro debe haber trancon esta quieto y a tres minutos
77,77,,No lo ves todavía??
78,78,,Ya sabes las placas
79,79,,Ddi 048 ddi 048 renult esta a una cuadra bien larga x la 222 espera miro
80,80,,Juanesito ya sal
81,81,,Esta ahi espera
82,82,,Estas ahi mira hacia la autopista donde estas
83,83,,Espera
84,84,,Juanesito ya vienes estos listos para ver
85,85,,nan
86,86,,Quieres comer algo?? para tenerte listo??
87,87,,Nada juanesito donde estas porq no contestas necesito saber con quién y dónde estas
88,88,,Juanesito a que horas vienes mañana madrugada y yo hoy me voy a dormir temprano
89,89,,Juanes en q te vas a venir?
90,90,,Pero depende la hora si es muy tarde no me comprometo
91,91,,Te espero hasta las 9y 40 ok bye
92,92,,Juanesito entonces ??? ya juanes
93,93,,Rhq 825
94,94,,Juanesito
95,95,,Juanesito donde estas?? juanesito hola juanesito
96,96,,Una pregunta te perfilarias las cejas?
97,97,,Es delinearlas finamente osea depilarlas
98,98,,Juanesito donde estas?? no me gusta q no contestes
99,99,,Ok
100,100,,Ok pendiente ddy 213 esta llegando juanesito hola
101,101,,Ya llegó
102,102,,Contesta que mierda juanesito esta en frente hola juanesito es uber pool x si acaso oye ocontesta dgq 012 jorge 635 juanesito donde estas?? david te está esperando para ir a almorzar contesta hola a juanesito
103,103,,A que horas sales q le digo a david
104,104,,Me avisas y te envío en uber pool ok
105,105,,Duerme bye
106,106,,nan
107,107,,nan
108,108,,Esta llegando 324
109,109,,nan
110,110,,Te quiero mi vida mi hijo amado
111,111,,Dile q acelere
112,112,,Juaaaassn
113,113,,nan
114,114,,Mira lo q hicieron junior y fígaro desplomaron una tórtola q cazaron en el patio de santa bye hty 053 juanesito donde estas
115,115,,Juanesito donde estas
116,116,,Yo estoy en la iglesia ah ya estás llegando ok
117,117,,Voy a comprar almuerzo y voy para allá ok cuidate guarda el celular
118,118,,nan
119,119,,Delicioso te lo perdiste arroz con pollo bandeja paisa ajiavo
120,120,,Que padoi amor pasó
121,121,,En la iglesia comiendo
122,122,,No se mi amor mira
123,123,,Os jóvenes están jugando por ahí a las 4 todo el mundo  te pregunto les dije q eras un falton
124,124,,Di señor que vergüenza
125,125,,Bueno que juanesito no viniste a apoyar a los chicos cde la iglesia
126,126,,Mov 805 willinton juanesito que pasó no contestas el teléfono es tarde
127,127,,Hijo donde estas??? yo estoy en la colina campestre
128,128,,Sandra habla mucho que pereza como la callamos hbu 906
129,129,,Ya va a llegar
130,130,,Ya llegó? guarda bien el celu
131,131,,nan
132,132,,Pero ya casi hijo vas lejos y el señor si va rápido? juanesito te gusta de almuerzo la pasta con atún???
133,133,,Juanesito te gusta la pasta con atún?? dime si o no
134,134,,Ok
135,135,,Hijo así tiene q ser además entre más trancon más costoso el ubet
136,136,,Ya llegaste??
137,137,,Terrible hijo
138,138,,Pero tranquilo q ese estrés te hace daño relajate ya la próxima madrugar mas
139,139,,Donde vienes??
140,140,,Y porq
141,141,,"Hijo hoy 2 en punto donde el tío ricardo x favor comer algo antes de llegar o sino es tena, la sgusntada"
142,142,,Juanesito donde estas??
143,143,,Por favor contestar vporq la demora
144,144,,Que paso
145,145,,Donde viene s te pongo un ubet
146,146,,Hijo vente en un taxi ya es tarde
147,147,,Aquí te lo pago y no vale gran cosa tomalo en el centro comercial
148,148,,Directamente no en la calle pregunta en el éxito donde se toman los taxis
149,149,,Ahí por lo general a la salida del éxito estan y don los conocido s spura hijo
150,150,,Si no lo vayas a coger en la calle ok estoy pendiente ok
151,151,,Que pasó hijo?? ya vienes
152,152,,Listo hijo te espero no tardes q si quieres q tu papi salga a encontrarte
153,153,,Y w pasa x w no vienes??
154,154,,Jdn895
155,155,,S blanco es blanco
156,156,,Dile q tienes afan o yo la llamo
157,157,,O la llami y le hago escandalo el uber sale más costoso
158,158,,Deike q tienes q llegar a las 6 y 45
159,159,,O si no llamó y me quejo de ella la calificó mal ok
